Maximum fit for each generation: 
Best fit for generation 479: 608
Best fit for generation 480: 608
Best fit for generation 481: 608
Best fit for generation 482: 608
Best fit for generation 483: 608
Best fit for generation 484: 608
Best fit for generation 485: 608
Best fit for generation 486: 608
Best fit for generation 487: 608
Best fit for generation 488: 608
Best fit for generation 489: 608
Best fit for generation 490: 608
Best fit for generation 491: 608
Best fit for generation 492: 608
Best fit for generation 493: 608
Best fit for generation 494: 608
Best fit for generation 495: 608
Best fit for generation 496: 608
Best fit for generation 497: 608
Best fit for generation 498: 608
Best fit for generation 499: 608
Best fit for generation 500: 608
Best fit for generation 501: 608
Best fit for generation 502: 608
Best fit for generation 503: 608
Best fit for generation 504: 608
Best fit for generation 505: 608
Best fit for generation 506: 608
Best fit for generation 507: 608
Best fit for generation 508: 608
Best fit for generation 509: 608
Best fit for generation 510: 608
Best fit for generation 511: 608
Best fit for generation 512: 608
Best fit for generation 513: 608
Best fit for generation 514: 608
Best fit for generation 515: 608
Best fit for generation 516: 608
Best fit for generation 517: 608
Best fit for generation 518: 608
Best fit for generation 519: 608
Best fit for generation 520: 608
Best fit for generation 521: 608
Best fit for generation 522: 608
Best fit for generation 523: 608
Best fit for generation 524: 608
Best fit for generation 525: 608
Best fit for generation 526: 608
Best fit for generation 527: 608
Best fit for generation 528: 608
Best fit for generation 529: 608
Best fit for generation 530: 608
Best fit for generation 531: 608
Best fit for generation 532: 608
Best fit for generation 533: 608
Best fit for generation 534: 608
Best fit for generation 535: 608
Best fit for generation 536: 608
Best fit for generation 537: 608
Best fit for generation 538: 608
Best fit for generation 539: 608
Best fit for generation 540: 608
Best fit for generation 541: 608
Best fit for generation 542: 608
Best fit for generation 543: 608
Best fit for generation 544: 608
Best fit for generation 545: 608
Best fit for generation 546: 608
Best fit for generation 547: 608
Best fit for generation 548: 608
Best fit for generation 549: 608
Best fit for generation 550: 608
Best fit for generation 551: 608
Best fit for generation 552: 608
Best fit for generation 553: 608
Best fit for generation 554: 608
Best fit for generation 555: 608
Best fit for generation 556: 608
Best fit for generation 557: 608
Best fit for generation 558: 608
Best fit for generation 559: 608
Best fit for generation 560: 608
Best fit for generation 561: 608
Best fit for generation 562: 608
Best fit for generation 563: 608
Best fit for generation 564: 608
Best fit for generation 565: 608
Best fit for generation 566: 608
Best fit for generation 567: 608
Best fit for generation 568: 608
Best fit for generation 569: 608
Best fit for generation 570: 608
Best fit for generation 571: 608
Best fit for generation 572: 608
Best fit for generation 573: 608
Best fit for generation 574: 608
Best fit for generation 575: 608
Best fit for generation 576: 608
Best fit for generation 577: 608
Best fit for generation 578: 608
Best fit for generation 579: 608
Best fit for generation 580: 608
Best fit for generation 581: 608
Best fit for generation 582: 608
Best fit for generation 583: 608
Best fit for generation 584: 608
Best fit for generation 585: 608
Best fit for generation 586: 608
Best fit for generation 587: 608
Best fit for generation 588: 608
Best fit for generation 589: 608
Best fit for generation 590: 608
Best fit for generation 591: 608
Best fit for generation 592: 608
Best fit for generation 593: 608
Best fit for generation 594: 608
Best fit for generation 595: 608
Best fit for generation 596: 608
Best fit for generation 597: 608
Best fit for generation 598: 608
Best fit for generation 599: 608
Best fit for generation 600: 608
Best fit for generation 601: 608
Best fit for generation 602: 608
Best fit for generation 603: 608
Best fit for generation 604: 608
Best fit for generation 605: 608
Best fit for generation 606: 608
Best fit for generation 607: 608
Best fit for generation 608: 608
Best fit for generation 609: 608
Best fit for generation 610: 608
Best fit for generation 611: 608
Best fit for generation 612: 608
Best fit for generation 613: 608
Best fit for generation 614: 608
Best fit for generation 615: 608
Best fit for generation 616: 608
Best fit for generation 617: 608
Best fit for generation 618: 608
Best fit for generation 619: 608
Best fit for generation 620: 608
Best fit for generation 621: 608
Best fit for generation 622: 608
Best fit for generation 623: 608
Best fit for generation 624: 608
Best fit for generation 625: 608
Best fit for generation 626: 608
Best fit for generation 627: 608
Best fit for generation 628: 608
Best fit for generation 629: 608
Best fit for generation 630: 608
Best fit for generation 631: 608
Best fit for generation 632: 608
Best fit for generation 633: 608
Best fit for generation 634: 608
Best fit for generation 635: 608
Best fit for generation 636: 608
Best fit for generation 637: 608
Best fit for generation 638: 608
Best fit for generation 639: 608
Best fit for generation 640: 608
Best fit for generation 641: 608
Best fit for generation 642: 608
Best fit for generation 643: 608
Best fit for generation 644: 608
Best fit for generation 645: 608
Best fit for generation 646: 608
Best fit for generation 647: 608
Best fit for generation 648: 608
Best fit for generation 649: 608
Best fit for generation 650: 608
Best fit for generation 651: 608
Best fit for generation 652: 608
Best fit for generation 653: 608
Best fit for generation 654: 608
Best fit for generation 655: 608
Best fit for generation 656: 608
Best fit for generation 657: 608
Best fit for generation 658: 608
Best fit for generation 659: 608
Best fit for generation 660: 608
Best fit for generation 661: 608
Best fit for generation 662: 608
Best fit for generation 663: 608
Best fit for generation 664: 608
Best fit for generation 665: 608
Best fit for generation 666: 608
Best fit for generation 667: 608
Best fit for generation 668: 608
Best fit for generation 669: 608
Best fit for generation 670: 608
Best fit for generation 671: 608
Best fit for generation 672: 608
Best fit for generation 673: 608
Best fit for generation 674: 608
Best fit for generation 675: 608
Best fit for generation 676: 608
Best fit for generation 677: 608
Best fit for generation 678: 608
Best fit for generation 679: 608
Best fit for generation 680: 608
Best fit for generation 681: 608
Best fit for generation 682: 608
Best fit for generation 683: 608
Best fit for generation 684: 608
Best fit for generation 685: 608
Best fit for generation 686: 608
Best fit for generation 687: 608
Best fit for generation 688: 608
Best fit for generation 689: 608
Best fit for generation 690: 608
Best fit for generation 691: 608
Best fit for generation 692: 608
Best fit for generation 693: 608
Best fit for generation 694: 608
Best fit for generation 695: 608
Best fit for generation 696: 608
Best fit for generation 697: 608
Best fit for generation 698: 608
Best fit for generation 699: 608
Best fit for generation 700: 608
Best fit for generation 701: 608
Best fit for generation 702: 608
Best fit for generation 703: 608
Best fit for generation 704: 608
Best fit for generation 705: 608
Best fit for generation 706: 608
Best fit for generation 707: 608
Best fit for generation 708: 608
Best fit for generation 709: 608
Best fit for generation 710: 608
Best fit for generation 711: 608
Best fit for generation 712: 608
Best fit for generation 713: 608
Best fit for generation 714: 608
Best fit for generation 715: 608
Best fit for generation 716: 608
Best fit for generation 717: 608
Best fit for generation 718: 608
Best fit for generation 719: 608
Best fit for generation 720: 608
Best fit for generation 721: 608
Best fit for generation 722: 608
Best fit for generation 723: 608
Best fit for generation 724: 608
Best fit for generation 725: 608
Best fit for generation 726: 608
Best fit for generation 727: 608
Best fit for generation 728: 608
Best fit for generation 729: 608
Best fit for generation 730: 608
Best fit for generation 731: 608
Best fit for generation 732: 608
Best fit for generation 733: 608
Best fit for generation 734: 608
Best fit for generation 735: 608
Best fit for generation 736: 608
Best fit for generation 737: 608
Best fit for generation 738: 608
Best fit for generation 739: 608
Best fit for generation 740: 608
Best fit for generation 741: 608
Best fit for generation 742: 608
Best fit for generation 743: 608
Best fit for generation 744: 608
Best fit for generation 745: 608
Best fit for generation 746: 608
Best fit for generation 747: 608
Best fit for generation 748: 608
Best fit for generation 749: 608
Best fit for generation 750: 608
Best fit for generation 751: 608
Best fit for generation 752: 608
