Maximum fit for each generation: 
Best fit for generation 452: 447
Best fit for generation 453: 447
Best fit for generation 454: 447
Best fit for generation 455: 447
Best fit for generation 456: 447
Best fit for generation 457: 447
Best fit for generation 458: 447
Best fit for generation 459: 447
Best fit for generation 460: 447
Best fit for generation 461: 447
Best fit for generation 462: 447
Best fit for generation 463: 447
Best fit for generation 464: 447
Best fit for generation 465: 447
Best fit for generation 466: 447
Best fit for generation 467: 447
Best fit for generation 468: 447
Best fit for generation 469: 447
Best fit for generation 470: 447
Best fit for generation 471: 447
Best fit for generation 472: 447
Best fit for generation 473: 447
Best fit for generation 474: 447
Best fit for generation 475: 447
Best fit for generation 476: 447
Best fit for generation 477: 447
Best fit for generation 478: 447
Best fit for generation 479: 447
Best fit for generation 480: 447
Best fit for generation 481: 447
Best fit for generation 482: 449
Best fit for generation 483: 449
Best fit for generation 484: 449
Best fit for generation 485: 449
Best fit for generation 486: 449
Best fit for generation 487: 449
Best fit for generation 488: 449
Best fit for generation 489: 449
Best fit for generation 490: 449
Best fit for generation 491: 449
Best fit for generation 492: 449
Best fit for generation 493: 449
Best fit for generation 494: 449
Best fit for generation 495: 449
Best fit for generation 496: 449
Best fit for generation 497: 449
Best fit for generation 498: 449
Best fit for generation 499: 449
Best fit for generation 500: 449
Best fit for generation 501: 449
Best fit for generation 502: 449
Best fit for generation 503: 449
Best fit for generation 504: 449
Best fit for generation 505: 449
Best fit for generation 506: 449
Best fit for generation 507: 449
Best fit for generation 508: 449
Best fit for generation 509: 449
Best fit for generation 510: 449
Best fit for generation 511: 449
Best fit for generation 512: 449
Best fit for generation 513: 449
Best fit for generation 514: 449
Best fit for generation 515: 449
Best fit for generation 516: 449
Best fit for generation 517: 449
Best fit for generation 518: 449
Best fit for generation 519: 449
Best fit for generation 520: 449
Best fit for generation 521: 449
Best fit for generation 522: 449
Best fit for generation 523: 449
Best fit for generation 524: 449
Best fit for generation 525: 449
Best fit for generation 526: 449
Best fit for generation 527: 449
Best fit for generation 528: 449
Best fit for generation 529: 449
Best fit for generation 530: 449
Best fit for generation 531: 449
Best fit for generation 532: 449
Best fit for generation 533: 449
Best fit for generation 534: 449
Best fit for generation 535: 449
Best fit for generation 536: 449
Best fit for generation 537: 449
Best fit for generation 538: 449
Best fit for generation 539: 449
Best fit for generation 540: 449
Best fit for generation 541: 449
Best fit for generation 542: 449
Best fit for generation 543: 449
Best fit for generation 544: 449
Best fit for generation 545: 449
Best fit for generation 546: 449
