Maximum fit for each generation: 
Best fit for generation 196: 447
Best fit for generation 197: 447
Best fit for generation 198: 447
Best fit for generation 199: 447
Best fit for generation 200: 447
Best fit for generation 201: 447
Best fit for generation 202: 447
Best fit for generation 203: 447
Best fit for generation 204: 447
Best fit for generation 205: 447
Best fit for generation 206: 447
Best fit for generation 207: 447
Best fit for generation 208: 447
Best fit for generation 209: 447
Best fit for generation 210: 447
Best fit for generation 211: 447
Best fit for generation 212: 447
Best fit for generation 213: 447
Best fit for generation 214: 447
Best fit for generation 215: 447
Best fit for generation 216: 447
Best fit for generation 217: 447
Best fit for generation 218: 447
Best fit for generation 219: 447
Best fit for generation 220: 447
Best fit for generation 221: 447
Best fit for generation 222: 447
Best fit for generation 223: 447
Best fit for generation 224: 447
Best fit for generation 225: 447
Best fit for generation 226: 447
Best fit for generation 227: 447
Best fit for generation 228: 447
Best fit for generation 229: 447
Best fit for generation 230: 447
Best fit for generation 231: 447
Best fit for generation 232: 447
Best fit for generation 233: 447
Best fit for generation 234: 447
Best fit for generation 235: 447
Best fit for generation 236: 447
Best fit for generation 237: 447
Best fit for generation 238: 447
Best fit for generation 239: 447
Best fit for generation 240: 447
Best fit for generation 241: 447
Best fit for generation 242: 447
Best fit for generation 243: 447
Best fit for generation 244: 447
Best fit for generation 245: 447
Best fit for generation 246: 447
Best fit for generation 247: 447
Best fit for generation 248: 447
Best fit for generation 249: 447
Best fit for generation 250: 447
Best fit for generation 251: 447
Best fit for generation 252: 447
Best fit for generation 253: 447
Best fit for generation 254: 447
Best fit for generation 255: 447
Best fit for generation 256: 447
Best fit for generation 257: 447
Best fit for generation 258: 447
Best fit for generation 259: 447
Best fit for generation 260: 447
Best fit for generation 261: 447
Best fit for generation 262: 447
Best fit for generation 263: 447
Best fit for generation 264: 447
Best fit for generation 265: 447
Best fit for generation 266: 447
Best fit for generation 267: 447
Best fit for generation 268: 447
Best fit for generation 269: 447
Best fit for generation 270: 447
Best fit for generation 271: 447
Best fit for generation 272: 447
Best fit for generation 273: 447
Best fit for generation 274: 447
Best fit for generation 275: 447
Best fit for generation 276: 447
Best fit for generation 277: 447
Best fit for generation 278: 447
Best fit for generation 279: 447
Best fit for generation 280: 447
Best fit for generation 281: 447
Best fit for generation 282: 447
Best fit for generation 283: 447
Best fit for generation 284: 447
Best fit for generation 285: 447
Best fit for generation 286: 447
Best fit for generation 287: 447
Best fit for generation 288: 447
Best fit for generation 289: 447
Best fit for generation 290: 447
Best fit for generation 291: 447
Best fit for generation 292: 448
Best fit for generation 293: 448
Best fit for generation 294: 448
Best fit for generation 295: 448
Best fit for generation 296: 448
Best fit for generation 297: 448
Best fit for generation 298: 448
Best fit for generation 299: 448
Best fit for generation 300: 448
Best fit for generation 301: 448
Best fit for generation 302: 448
Best fit for generation 303: 448
Best fit for generation 304: 448
Best fit for generation 305: 448
Best fit for generation 306: 448
Best fit for generation 307: 448
Best fit for generation 308: 448
Best fit for generation 309: 448
Best fit for generation 310: 448
Best fit for generation 311: 448
Best fit for generation 312: 448
Best fit for generation 313: 448
Best fit for generation 314: 448
Best fit for generation 315: 448
Best fit for generation 316: 448
