Maximum fit for each generation: 
Best fit for generation 482: 426
Best fit for generation 483: 426
Best fit for generation 484: 426
Best fit for generation 485: 426
Best fit for generation 486: 426
Best fit for generation 487: 426
Best fit for generation 488: 426
Best fit for generation 489: 426
Best fit for generation 490: 426
Best fit for generation 491: 426
Best fit for generation 492: 426
Best fit for generation 493: 426
Best fit for generation 494: 426
Best fit for generation 495: 426
Best fit for generation 496: 426
Best fit for generation 497: 426
Best fit for generation 498: 426
Best fit for generation 499: 426
Best fit for generation 500: 426
Best fit for generation 501: 426
Best fit for generation 502: 426
Best fit for generation 503: 426
Best fit for generation 504: 426
Best fit for generation 505: 426
Best fit for generation 506: 426
Best fit for generation 507: 426
Best fit for generation 508: 426
Best fit for generation 509: 426
Best fit for generation 510: 426
Best fit for generation 511: 426
Best fit for generation 512: 426
Best fit for generation 513: 426
Best fit for generation 514: 426
Best fit for generation 515: 426
Best fit for generation 516: 426
Best fit for generation 517: 426
Best fit for generation 518: 426
Best fit for generation 519: 426
Best fit for generation 520: 426
Best fit for generation 521: 426
Best fit for generation 522: 426
Best fit for generation 523: 426
Best fit for generation 524: 426
Best fit for generation 525: 426
Best fit for generation 526: 426
Best fit for generation 527: 426
Best fit for generation 528: 426
Best fit for generation 529: 426
Best fit for generation 530: 426
Best fit for generation 531: 426
Best fit for generation 532: 426
Best fit for generation 533: 426
Best fit for generation 534: 426
Best fit for generation 535: 426
Best fit for generation 536: 426
Best fit for generation 537: 426
Best fit for generation 538: 426
Best fit for generation 539: 426
Best fit for generation 540: 426
Best fit for generation 541: 426
Best fit for generation 542: 426
Best fit for generation 543: 426
Best fit for generation 544: 426
Best fit for generation 545: 426
Best fit for generation 546: 426
Best fit for generation 547: 426
Best fit for generation 548: 426
Best fit for generation 549: 426
Best fit for generation 550: 426
Best fit for generation 551: 426
Best fit for generation 552: 426
Best fit for generation 553: 426
Best fit for generation 554: 426
Best fit for generation 555: 426
Best fit for generation 556: 426
Best fit for generation 557: 426
Best fit for generation 558: 426
Best fit for generation 559: 426
Best fit for generation 560: 426
Best fit for generation 561: 426
Best fit for generation 562: 426
Best fit for generation 563: 426
Best fit for generation 564: 426
Best fit for generation 565: 426
Best fit for generation 566: 426
Best fit for generation 567: 426
Best fit for generation 568: 426
Best fit for generation 569: 426
Best fit for generation 570: 426
Best fit for generation 571: 426
Best fit for generation 572: 426
Best fit for generation 573: 426
Best fit for generation 574: 426
Best fit for generation 575: 426
Best fit for generation 576: 426
Best fit for generation 577: 426
Best fit for generation 578: 426
Best fit for generation 579: 426
Best fit for generation 580: 426
Best fit for generation 581: 426
Best fit for generation 582: 426
Best fit for generation 583: 426
Best fit for generation 584: 426
Best fit for generation 585: 426
Best fit for generation 586: 426
Best fit for generation 587: 426
Best fit for generation 588: 426
Best fit for generation 589: 426
Best fit for generation 590: 426
Best fit for generation 591: 426
Best fit for generation 592: 426
Best fit for generation 593: 426
Best fit for generation 594: 426
Best fit for generation 595: 426
Best fit for generation 596: 426
Best fit for generation 597: 426
Best fit for generation 598: 426
Best fit for generation 599: 426
Best fit for generation 600: 426
Best fit for generation 601: 426
Best fit for generation 602: 426
Best fit for generation 603: 426
Best fit for generation 604: 426
Best fit for generation 605: 426
Best fit for generation 606: 426
Best fit for generation 607: 426
Best fit for generation 608: 426
Best fit for generation 609: 426
Best fit for generation 610: 426
Best fit for generation 611: 426
Best fit for generation 612: 426
Best fit for generation 613: 426
Best fit for generation 614: 426
Best fit for generation 615: 426
Best fit for generation 616: 426
Best fit for generation 617: 426
Best fit for generation 618: 426
Best fit for generation 619: 426
Best fit for generation 620: 426
Best fit for generation 621: 426
Best fit for generation 622: 426
Best fit for generation 623: 426
Best fit for generation 624: 426
Best fit for generation 625: 426
Best fit for generation 626: 426
Best fit for generation 627: 426
Best fit for generation 628: 426
Best fit for generation 629: 426
Best fit for generation 630: 426
Best fit for generation 631: 426
Best fit for generation 632: 426
Best fit for generation 633: 426
Best fit for generation 634: 426
Best fit for generation 635: 426
Best fit for generation 636: 426
Best fit for generation 637: 426
Best fit for generation 638: 426
Best fit for generation 639: 426
Best fit for generation 640: 426
Best fit for generation 641: 426
Best fit for generation 642: 426
Best fit for generation 643: 426
Best fit for generation 644: 426
Best fit for generation 645: 426
Best fit for generation 646: 426
Best fit for generation 647: 426
Best fit for generation 648: 426
Best fit for generation 649: 426
Best fit for generation 650: 426
Best fit for generation 651: 426
Best fit for generation 652: 426
Best fit for generation 653: 443
Best fit for generation 654: 443
Best fit for generation 655: 443
Best fit for generation 656: 443
Best fit for generation 657: 443
Best fit for generation 658: 443
Best fit for generation 659: 443
Best fit for generation 660: 443
Best fit for generation 661: 443
Best fit for generation 662: 443
Best fit for generation 663: 443
Best fit for generation 664: 443
Best fit for generation 665: 443
Best fit for generation 666: 443
Best fit for generation 667: 443
Best fit for generation 668: 443
Best fit for generation 669: 443
Best fit for generation 670: 443
Best fit for generation 671: 443
Best fit for generation 672: 443
Best fit for generation 673: 443
Best fit for generation 674: 443
Best fit for generation 675: 443
Best fit for generation 676: 443
Best fit for generation 677: 443
Best fit for generation 678: 443
Best fit for generation 679: 443
Best fit for generation 680: 443
Best fit for generation 681: 443
Best fit for generation 682: 443
Best fit for generation 683: 443
Best fit for generation 684: 443
Best fit for generation 685: 443
Best fit for generation 686: 443
Best fit for generation 687: 443
Best fit for generation 688: 443
Best fit for generation 689: 443
Best fit for generation 690: 443
Best fit for generation 691: 443
Best fit for generation 692: 443
Best fit for generation 693: 443
Best fit for generation 694: 443
Best fit for generation 695: 443
Best fit for generation 696: 443
Best fit for generation 697: 443
Best fit for generation 698: 443
